Sample 0: No. iterations = 1, Error = 2.49816e-13
Sample 1: No. iterations = 512, Error = 1
Sample 2: No. iterations = 512, Error = 1
Sample 3: No. iterations = 512, Error = 1
Sample 4: No. iterations = 512, Error = 1
Sample 5: No. iterations = 512, Error = 1
Sample 6: No. iterations = 512, Error = 1
Sample 7: No. iterations = 512, Error = 1
Sample 8: No. iterations = 512, Error = 1
Sample 9: No. iterations = 0, Error = 7.62701e-13
Sample 10: No. iterations = 512, Error = 1
Sample 11: No. iterations = 512, Error = 1
Sample 12: No. iterations = 512, Error = 0.999998
Sample 13: No. iterations = 512, Error = 1
Sample 14: No. iterations = 512, Error = 1
Sample 15: No. iterations = 512, Error = 1
Sample 16: No. iterations = 512, Error = 1
Sample 17: No. iterations = 512, Error = 1
Sample 18: No. iterations = 512, Error = 1
Sample 19: No. iterations = 512, Error = 1
Sample 20: No. iterations = 0, Error = 5.91897e-13
Sample 21: No. iterations = 512, Error = 0.999998
Sample 22: No. iterations = 512, Error = 1
Sample 23: No. iterations = 512, Error = 1
Sample 24: No. iterations = 512, Error = 1
Sample 25: No. iterations = 512, Error = 1
Sample 26: No. iterations = 512, Error = 1
Sample 27: No. iterations = 512, Error = 1
Sample 28: No. iterations = 512, Error = 1
Sample 29: No. iterations = 512, Error = 1
Sample 30: No. iterations = 512, Error = 1
Sample 31: No. iterations = 0, Error = 8.8183e-13
Sample 32: No. iterations = 512, Error = 1
Sample 33: No. iterations = 512, Error = 1
Sample 34: No. iterations = 512, Error = 1
Sample 35: No. iterations = 512, Error = 0.999997
Sample 36: No. iterations = 512, Error = 1
Sample 37: No. iterations = 512, Error = 1
Sample 38: No. iterations = 512, Error = 1
Sample 39: No. iterations = 512, Error = 1
Sample 40: No. iterations = 512, Error = 1
Sample 41: No. iterations = 512, Error = 0.999998
Sample 42: No. iterations = 512, Error = 1
Sample 43: No. iterations = 512, Error = 1
Sample 44: No. iterations = 512, Error = 0.999997
Sample 45: No. iterations = 512, Error = 0.999997
Sample 46: No. iterations = 512, Error = 1
Sample 47: No. iterations = 512, Error = 1
Sample 48: No. iterations = 0, Error = 1.43727e-12
Sample 49: No. iterations = 512, Error = 1
Sample 50: No. iterations = 512, Error = 0.999996
Sample 51: No. iterations = 512, Error = 1
Sample 52: No. iterations = 512, Error = 1
Sample 53: No. iterations = 512, Error = 1
Sample 54: No. iterations = 512, Error = 1
Sample 55: No. iterations = 512, Error = 1
Sample 56: No. iterations = 512, Error = 1
Sample 57: No. iterations = 512, Error = 1
Sample 58: No. iterations = 512, Error = 0.999995
Sample 59: No. iterations = 512, Error = 1
Sample 60: No. iterations = 512, Error = 1
Sample 61: No. iterations = 512, Error = 1
Sample 62: No. iterations = 512, Error = 1
Sample 63: No. iterations = 512, Error = 1
